GEOID,NAME,GEOID10,18TOT,18TOTme,18BLACK,18Bme,2018,17TOT,17TOTme,17BLACK,17Bme,2017,16TOT,16TOTme,16BLACK,16Bme,2016,15TOT,15TOTme,15BLACK,15Bme,2015,14TOT,14TOTme,14BLACK,14Bme,2014,13TOT,13TOTme,13BLACK,13Bme,2013
1500000US210670007001,"Block Group 1, Census Tract 7, Fayette County, Kentucky",210670007001,1670,265,1310,268,78.44,1125,100,1036,100,92.09,1111,89,1024,84,92.17,1217,126,1146,143,94.17,1186,113,1127,128,95.03,766,168,615,153,80.29
1500000US210670014002,"Block Group 2, Census Tract 14, Fayette County, Kentucky",210670014002,1019,249,788,163,77.33,856,118,839,113,98.01,817,127,787,124,96.33,865,196,821,194,94.91,905,267,868,263,95.91,1773,445,1303,391,73.49
1500000US210670017002,"Block Group 2, Census Tract 17, Fayette County, Kentucky",210670017002,870,245,860,246,98.85,915,143,878,140,95.96,894,156,868,148,97.09,1007,143,910,158,90.37,960,187,833,190,86.77,2252,409,1205,332,53.51
1500000US210670028001,"Block Group 1, Census Tract 28, Fayette County, Kentucky",210670028001,2625,250,2434,262,92.72,179,81,179,81,100,196,65,189,64,96.43,233,80,228,79,97.85,193,75,188,74,97.41,1166,226,1055,221,90.48
1500000US210670006001,"Block Group 1, Census Tract 6, Fayette County, Kentucky",210670006001,1491,356,1457,355,97.72,1299,172,968,145,74.52,1307,172,1005,131,76.89,1321,191,1028,153,77.82,1231,186,1074,162,87.25,948,253,595,166,62.76
1500000US210670027001,"Block Group 1, Census Tract 27, Fayette County, Kentucky",210670027001,940,185,860,177,91.49,1478,294,1140,255,77.13,1206,245,940,198,77.94,1458,280,1234,269,84.64,1408,281,1172,265,83.24,1994,402,1368,382,68.61
1500000US210670027003,"Block Group 3, Census Tract 27, Fayette County, Kentucky",210670027003,1370,218,1253,215,91.46,1894,323,1485,254,78.41,1988,314,1511,228,76.01,1932,362,1496,288,77.43,1896,405,1566,317,82.59,1825,374,1376,287,75.4
1500000US210670018002,"Block Group 2, Census Tract 18, Fayette County, Kentucky",210670018002,1478,320,1165,281,78.82,996,205,898,174,90.16,922,187,822,170,89.15,876,198,782,177,89.27,974,230,884,208,90.76,1510,555,1109,366,73.44
1500000US210670026004,"Block Group 4, Census Tract 26, Fayette County, Kentucky",210670026004,465,187,450,197,96.77,1506,212,1458,216,96.81,1493,213,1441,213,96.52,1651,333,1602,343,97.03,1537,246,1482,257,96.42,1646,489,1397,459,84.87
1500000US210670030003,"Block Group 3, Census Tract 30, Fayette County, Kentucky",210670030003,884,408,524,158,59.28,2479,354,2142,295,86.41,2492,307,2174,298,87.24,2291,483,2020,465,88.17,2066,401,1713,371,82.91,2320,576,2188,585,94.31
1500000US210670042081,"Block Group 1, Census Tract 42.08, Fayette County, Kentucky",210670042081,3271,474,2553,470,78.05,642,142,590,134,91.9,699,181,644,160,92.13,594,162,540,148,90.91,929,409,885,405,95.26,2611,533,2228,487,85.33
1500000US210670042092,"Block Group 2, Census Tract 42.09, Fayette County, Kentucky",210670042092,2315,258,2101,267,90.76,2103,275,1684,249,80.08,2042,264,1547,268,75.76,1955,309,1499,322,76.68,2191,360,1736,381,79.23,1585,251,1243,235,78.42
1500000US210670023021,"Block Group 1, Census Tract 23.02, Fayette County, Kentucky",210670023021,1676,416,1356,317,80.91,2414,351,2186,341,90.56,2400,355,2189,350,91.21,2233,337,1933,322,86.57,2171,304,1856,299,85.49,1466,212,1200,192,81.86
1500000US210670034021,"Block Group 1, Census Tract 34.02, Fayette County, Kentucky",210670034021,2549,466,1749,356,68.62,1127,248,981,232,87.05,1224,206,1081,209,88.32,1238,268,1051,275,84.89,1233,239,1102,236,89.38,1649,300,1211,261,73.44
1500000US210670034042,"Block Group 2, Census Tract 34.04, Fayette County, Kentucky",210670034042,1064,249,989,233,92.95,1929,297,1818,309,94.25,1861,251,1723,267,92.58,1879,256,1758,230,93.56,2047,288,1934,264,94.48,1886,367,1513,313,80.22
1500000US210670005001,"Block Group 1, Census Tract 5, Fayette County, Kentucky",210670005001,825,154,700,141,84.85,1999,329,1624,304,81.24,2047,326,1688,318,82.46,2039,356,1592,338,78.08,2021,385,1516,351,75.01,1364,223,1280,216,93.84
1500000US210670004001,"Block Group 1, Census Tract 4, Fayette County, Kentucky",210670004001,569,136,433,103,76.1,2052,413,1715,365,83.58,2225,345,1749,278,78.61,2053,317,1724,303,83.97,1794,372,1490,325,83.05,677,264,380,180,56.13
