GEOID,NAME,GEOID10,18TOT,18TOTme,18BLACK,18Bme,2018,17TOT,17TOTme,17BLACK,17Bme,2017,16TOT,16TOTme,16BLACK,16Bme,2016,15TOT,15TOTme,15BLACK,15Bme,2015,14TOT,14TOTme,14BLACK,14Bme,2014,13TOT,13TOTme,13BLACK,13Bme,2013
1500000US210670006003,"Block Group 3, Census Tract 6, Fayette County, Kentucky",210670006003,1398,296,18,32,1.29,991,333,51,45,5.15,863,338,37,40,4.29,612,188,31,41,5.07,661,186,15,24,2.27,1935,296,105,90,5.43
1500000US210670006002,"Block Group 2, Census Tract 6, Fayette County, Kentucky",210670006002,1370,336,93,141,6.79,669,188,52,80,7.77,865,252,58,94,6.71,1078,308,75,114,6.96,865,277,71,110,8.21,2297,279,51,54,2.22
1500000US210670037041,"Block Group 1, Census Tract 37.04, Fayette County, Kentucky",210670037041,1997,318,96,100,4.81,712,170,98,70,13.76,805,211,125,92,15.53,782,188,188,128,24.04,818,168,180,145,22,1092,226,5,7,0.46
1500000US210670037042,"Block Group 2, Census Tract 37.04, Fayette County, Kentucky",210670037042,2028,465,0,11,0,1217,136,26,20,2.14,1166,156,42,39,3.6,1009,155,31,37,3.07,840,141,62,60,7.38,2531,434,141,221,5.57
1500000US210670038031,"Block Group 1, Census Tract 38.03, Fayette County, Kentucky",210670038031,838,179,110,75,13.13,744,162,23,31,3.09,598,106,8,11,1.34,631,126,11,16,1.74,547,116,0,11,0,339,138,0,11,0
1500000US210670038032,"Block Group 2, Census Tract 38.03, Fayette County, Kentucky",210670038032,2446,340,304,161,12.43,1119,255,0,11,0,1054,231,0,11,0,1108,249,0,11,0,961,205,0,11,0,2769,557,132,178,4.77
1500000US210670038041,"Block Group 1, Census Tract 38.04, Fayette County, Kentucky",210670038041,2521,616,1077,491,42.72,846,167,0,11,0,750,176,0,11,0,722,203,0,11,0,819,187,0,11,0,716,223,13,21,1.82
1500000US210670038042,"Block Group 2, Census Tract 38.04, Fayette County, Kentucky",210670038042,1325,414,351,253,26.49,942,214,0,11,0,997,231,0,11,0,862,190,0,11,0,1009,248,0,11,0,2125,357,670,348,31.53
1500000US210670039062,"Block Group 2, Census Tract 39.06, Fayette County, Kentucky",210670039062,2658,329,171,179,6.43,1740,505,23,35,1.32,1614,538,24,36,1.49,1457,514,23,32,1.58,1538,556,1,2,0.07,1398,357,144,121,10.3
1500000US210670039081,"Block Group 1, Census Tract 39.08, Fayette County, Kentucky",210670039081,1337,309,149,154,11.14,1123,267,0,11,0,1164,248,0,11,0,1364,323,0,11,0,1547,319,0,11,0,1275,241,16,24,1.25
1500000US210670039083,"Block Group 3, Census Tract 39.08, Fayette County, Kentucky",210670039083,756,270,8,13,1.06,1547,270,0,11,0,1777,376,0,11,0,1615,277,0,11,0,1227,252,0,11,0,713,273,103,159,14.45
1500000US210670039091,"Block Group 1, Census Tract 39.09, Fayette County, Kentucky",210670039091,2242,280,255,212,11.37,1404,257,30,29,2.14,1331,288,46,37,3.46,1302,286,84,76,6.45,1434,331,79,73,5.51,2656,467,59,66,2.22
1500000US210670039101,"Block Group 1, Census Tract 39.10, Fayette County, Kentucky",210670039101,2702,390,423,232,15.66,976,194,15,23,1.54,1035,194,18,23,1.74,1089,171,24,30,2.2,964,171,24,32,2.49,1549,310,24,27,1.55
1500000US210670039111,"Block Group 1, Census Tract 39.11, Fayette County, Kentucky",210670039111,1571,335,296,250,18.84,3419,661,106,67,3.1,3740,455,88,60,2.35,3829,434,97,50,2.53,4255,986,107,57,2.51,2105,453,18,29,0.86
1500000US210670039113,"Block Group 3, Census Tract 39.11, Fayette County, Kentucky",210670039113,766,286,0,11,0,3619,839,164,84,4.53,3641,580,135,57,3.71,3124,387,94,48,3.01,3391,480,88,57,2.6,505,201,0,11,0
1500000US210670039121,"Block Group 1, Census Tract 39.12, Fayette County, Kentucky",210670039121,2305,300,30,36,1.3,897,124,9,11,1,998,220,6,8,0.6,1049,204,3,6,0.29,1053,211,0,11,0,3537,397,252,323,7.12
1500000US210670039142,"Block Group 2, Census Tract 39.14, Fayette County, Kentucky",210670039142,1372,260,9,13,0.66,1335,328,47,74,3.52,1381,303,61,95,4.42,1387,328,55,70,3.97,1086,278,10,16,0.92,784,239,131,103,16.71
1500000US210670039131,"Block Group 1, Census Tract 39.13, Fayette County, Kentucky",210670039131,2147,424,96,149,4.47,3245,606,114,112,3.51,3369,667,139,114,4.13,3364,669,86,89,2.56,3016,585,47,38,1.56,1316,184,0,11,0
1500000US210670039132,"Block Group 2, Census Tract 39.13, Fayette County, Kentucky",210670039132,788,176,0,11,0,1374,395,88,105,6.4,1408,413,82,88,5.82,1468,377,66,85,4.5,1360,388,61,85,4.49,1313,263,0,11,0
1500000US210670039141,"Block Group 1, Census Tract 39.14, Fayette County, Kentucky",210670039141,911,136,10,12,1.1,839,188,148,121,17.64,802,209,84,70,10.47,754,189,80,65,10.61,739,203,83,69,11.23,1537,353,0,11,0
1500000US210670039151,"Block Group 1, Census Tract 39.15, Fayette County, Kentucky",210670039151,1998,310,46,66,2.3,878,113,12,14,1.37,896,133,11,14,1.23,822,122,24,22,2.92,801,150,18,20,2.25,0,11,0,11,#DIV/0!
1500000US210670039152,"Block Group 2, Census Tract 39.15, Fayette County, Kentucky",210670039152,1828,331,43,63,2.35,1351,517,728,458,53.89,1519,483,669,342,44.04,1393,453,805,337,57.79,1219,381,520,251,42.66,672,208,0,11,0
