GEOID10,NAME,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
470370165001,165.1,1.89,0.48,1.93,0.98,1.98,2.51,0,3.08,0,5.26,0.46,1.64,0.37,1.69,1.55,1.43
470370165002,165.2,0,0.8,0,0,1.28,1.6,0,0,0,0,0,100,0,0,0,0
470370165003,165.3,0,12.5,0,0,0,0,0,0,0,0,0,0,0,100,0,0
470370165004,165.4,1.59,1.79,4.08,2.38,2.86,3.57,4.76,0,0,200,100,0,0,0,0,0
470370166001,166.1,1.86,1.34,1.75,1.48,1.9,1.64,1.23,0.41,0.42,1.67,0.92,0.88,0.59,0.79,0.65,0.31
470370166002,166.2,3.82,2.35,3.05,1.54,1.9,4.19,2.12,2.85,2.7,3.1,2.99,3.07,1.82,1.92,1.24,2.11
470370167001,167.1,0.17,0.51,0.67,0.49,0,1.1,0,0,0,0.58,0.28,0.69,0,0.13,0.51,0.13
470370167002,167.2,0.46,1.82,0.9,1.78,0.88,1.75,0.86,0.43,0,0.42,1.62,0.39,0.38,1.1,0,0.69
470370167003,167.3,1.88,0.95,1.92,0,1.96,0,1,1.01,3.06,1.03,0,0,0.9,0,0,0
470370167004,167.4,1.1,0.55,2.22,1.67,2.24,2.25,0.57,0,0,0,1.12,0.54,0.53,0,0,0
470370168001,168.1,0.46,0.78,0.62,0.47,1.42,0.48,0.8,0.48,0.32,0.49,0.48,0.32,0.63,0.15,0.31,0.6
470370168002,168.2,0.2,0.2,1.01,0.81,1,1.19,0.99,0,0.2,0.58,0.19,0.19,0.55,0.18,0.35,0.52
470370168003,168.3,3.75,2.02,1.17,0.38,0.74,0.36,1.04,0.68,0.33,0.32,0.95,0.62,0.31,0.3,0,0.88
470370168004,168.4,3.36,1.17,2.45,1.93,2.03,0.71,0.75,0.8,0,0,0.86,1.64,0,0,0,0
470370169001,169.1,2.01,1.03,1.58,2.15,0,1.13,0.58,1.19,0,0.63,1.19,0,1.09,0.52,0,0
470370169002,169.2,2.24,1.68,1.68,0.56,1.12,0,1.13,0.56,0.56,1.13,0,0,0,0,0,0.49
470370169003,169.3,2.59,1.11,0.74,1.85,1.48,0,0,0.74,0.37,0.37,0,0.73,0.72,0.35,0,0.69
470370169004,169.4,0.39,0.39,0.77,1.91,0.38,0,0.75,0.38,0,0,0,0,0,0,0,0
470370169005,169.5,1.06,1.62,2.76,0,2.3,0,0,0,0,0,0,0,0,0,0.52,0
470370170001,170.1,6.33,4.3,3.29,3.69,0.45,1.34,0.44,0.43,0.42,0,0.8,0,0.75,0,1.05,0
470370170002,170.2,2.12,5.34,2.15,4.32,0,2.19,1.1,1.11,2.23,0,0,0,0,0.96,0.92,1.79
470370170003,170.3,1.96,1.7,0,0.96,0.72,0.48,0,0.24,0.24,0.47,0.23,0.45,1.12,0.44,0,0.43
470370171001,171.1,9.49,6.02,4.85,8.73,9.03,9.38,1.73,0,2.2,0.85,2.31,4.25,1.31,0.61,0.57,1.06
470370171002,171.2,3.28,4.59,1.81,3.83,2.7,2.16,0,1.65,0,0,0,0.79,0.72,0.66,0,1.72
470370171003,171.3,7.85,1.15,12.92,3.61,2.47,1.26,0,0,0,1.41,5.17,1.2,1.11,2.08,0,0
470370172001,172.1,1.24,3.76,3.82,1.29,0.66,2,1.35,0.69,1.4,0.71,0,0,0,2.56,0.62,1.22
470370172002,172.2,7.1,5.89,1.33,5.38,3.41,4.16,4.22,5.71,5.07,2.94,3.56,3.46,2.01,1.96,1.27,2.47
470370173001,173.1,2.28,4.96,1.78,4.83,4.34,3.86,3.39,4.18,3.72,0.82,5.12,4.57,0.74,1.43,2.42,1.34
470370173002,173.2,4.44,4.37,5.17,5.09,5.86,5.78,3.25,0.8,6.33,1.56,3.06,3,2.21,3.61,2.83,4.86
470370173003,173.3,4.19,2.46,7.25,4.74,5.43,6.09,3.74,3.67,2.89,0.71,5.53,2.02,3.95,1.28,4.39,3.68
470370175001,175.1,3.22,2.84,3.91,1.52,2.61,5.41,3.92,4.07,3.63,1.89,2.45,3.58,6.4,1.13,0.55,1.62
470370175002,175.2,3,2.98,0.98,0.98,1.61,2.24,1.59,0,0.31,1.55,0.91,1.19,2.33,1.14,0.56,1.37
470370175003,175.3,7.59,4.39,5.6,5.56,5.52,5.48,5.44,3.6,3.58,3.55,3.48,5.13,3.36,3.85,1.62,1.6
470370178001,178.1,1,0.5,2,0.5,0.99,1.49,0.49,0,0.98,0.98,0.94,0,0.44,0,0.83,0
470370178002,178.2,0.34,2.36,2.03,1.02,0.68,1.36,0.34,0.68,0.34,0.34,0,0.62,2.39,0.57,0,0.27
470370178003,178.3,0,0,2.03,2.04,1.03,1.03,0.52,1.04,0,0.53,1.03,0.5,0.48,0.47,0,0
470370178004,178.4,2.4,0.47,0,0.46,1.36,0,0,1.31,0,0.43,0,1.14,0,0,0,0
470370178005,178.5,1.18,0,0.6,1.21,0.31,0.31,0,0.63,0.96,0,0,0,0,0,0,0.26
470370180001,180.1,0,0,1.21,0,0.6,3.56,0,0,0,0,0,0,0,0,0,0.56
470370180002,180.2,0,0,0,0,0,0,0,6.02,0,0,0,0,5.13,0,0,0
470370180003,180.3,0,0,0,0,0,3.18,0,0,1.65,0,0,0,0,0,1.3,1.25
470370180004,180.4,0.21,1.06,0.87,0.89,0.69,0.7,0.48,0.25,0,0.26,0.76,0,0.71,0,0.45,0.87
470370180005,180.5,0.94,0,1.49,1.53,2.1,0,0.56,0,0,0,0,1.17,0.57,1.11,0,0
470370185001,185.1,0,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0
470370185002,185.2,3.53,0,0,0,0,0,0,8.55,4.41,0,0,8.11,3.85,0,0,0
470370185003,185.3,0,0,0,0,0,0,7.09,0,0,6.67,0,0,0,0,0,0
470370185004,185.4,1.18,0,0,1.26,0,1.31,0,1.37,0,1.43,4.09,1.3,0,0,0,1.11
470370185005,185.5,0,0,0,0,2.68,2.7,0,0,1.36,1.37,0,1.27,2.45,1.19,0,0
470370185006,185.6,0,4.13,4.12,0,0,0,0,8.06,4.02,0,0,0,3.39,6.45,0,0
470370187001,187.1,3.55,0,1.76,1.75,0,1.73,0,0,0,0,0,0,1.48,0,0,1.32
470370187002,187.2,0,0,0,3.82,0,3.73,0,7.3,0,0,0,0,0,0,0,0
470370187003,187.3,0,0,0,0,0,0,0,5,4.65,0,4.03,7.5,0,0,0,0
470370192001,192.1,4.13,4.12,4.62,2.56,3.06,4.58,1.52,1.01,2.02,2.51,3.43,1.92,1.41,1.83,1.34,2.63
470370192002,192.2,12.86,5.8,6.48,4.98,5.68,4.08,4.2,1.85,3.17,1.96,2.5,0,0,2.22,2.67,1.03
470370192003,192.3,8.98,4.48,7.94,11.39,8.4,3.94,2.95,5.88,3.91,3.41,1.9,4.61,4.04,3.49,1.28,1.24
470370192004,192.4,7.71,6.05,7.61,7.97,7.52,8.27,5.09,7.39,8.9,8.08,11.73,15.26,10.99,8.29,7.1,5.59
470370193001,193.1,4.14,3.95,9.03,5.1,8.24,4.7,4.73,2.94,3.87,2.75,2.53,3.47,2.56,2.33,1.64,2.12
470370193002,193.2,21.04,19.99,13.37,23.87,19.02,24.15,17.17,26.43,22.81,22.16,9.17,10.07,12.94,9.34,12.64,13.46
470370193003,193.3,14.07,9.39,13.92,13.59,13.6,17.3,15.97,13.12,13.97,14.31,9.99,10.22,9.25,9.3,10.22,12.37
470370194001,194.1,9.27,9.46,12.21,11.44,10.63,3.81,2.78,3.42,2.92,2.99,0,3.8,3.11,0.99,1.9,0.46
470370194002,194.2,6.49,4.63,5.12,5.6,4.4,4.87,3.73,3.93,3.87,4.57,4.31,4.1,3.36,3.09,2.7,1.92
470370194003,194.3,7.51,3.92,6.11,8.67,8.95,7.3,5.91,4.36,5.71,6.22,3.17,6.05,6.16,6.27,3.18,4.81
470370195001,195.1,4.63,7.02,3.09,4.78,3.48,1.69,1.09,2.65,4.13,1.01,0.43,2.65,1.69,2.13,1.38,2.03
470370195002,195.2,6.16,2.23,2.27,2.57,1.4,1.72,1.99,0.92,1.38,1.13,1.02,0.92,0.36,0.66,1.33,0.48
470370195003,195.3,1.26,2.07,2.25,2.82,2.19,2.95,1.55,1.34,0.19,0.56,0.72,2.09,1.18,1.3,0.32,1.23
